,Species,Distance.m,Angle.degrees,Tree_Height_m
55,Alnus glutinosa,44.739682474173605,28.356468554120497,24.1467447352
56,Betula pendula,40.054124998860104,36.70698531088421,29.8630216927
57,Carpinus betulus,42.3438745737076,22.640845859423298,17.6614815511
58,Quercus robur,42.641541226767,27.5769322866108,22.2706037466
59,Quercus robur,43.962848247028894,39.0075231716037,35.6099714033
60,Carpinus betulus,31.7523087095469,41.3719389925245,27.9657997511
61,Metasequoia glyptostroboides,36.73051950521771,25.248309351736697,17.3219127588
62,Fagus sylvatica,35.2053026808426,26.602514046244302,17.6314345066
63,Ginkgo biloba,37.1359657170251,25.7740561838727,17.9314867974
64,Betula pendula,49.070528992451706,22.134062867844502,19.9594667866
65,Ginkgo biloba,37.7177836187184,38.451301433378795,29.9497730592
66,Quercus robur,38.6944898404181,28.815191331086698,21.2858378633
67,Metasequoia glyptostroboides,43.793404051102705,43.4747779497411,41.5217651294
68,Quercus robur,31.1318424111232,36.422279056860106,22.9710644793
69,Fraxinus excelsior,46.5926557453349,40.0547198357526,39.1717694541
70,Fagus sylvatica,46.81411306373779,42.2744762897491,42.5594594948
71,Metasequoia glyptostroboides,43.3638163143769,25.2968545409385,20.4950695952
72,Metasequoia glyptostroboides,43.2250146940351,29.3812054779846,24.3373667551
73,Metasequoia glyptostroboides,30.3724726615474,26.024408660596198,14.8296650389
74,Ginkgo biloba,36.2616367125884,26.9264538411517,18.4176346158
75,Fraxinus excelsior,43.054789169691496,38.551938253222,34.3110948679
76,Metasequoia glyptostroboides,31.8466471461579,27.057951827300702,16.2672720083
77,Pinus sylvestris,32.148510729894,43.56289356830529,30.5749362439
78,Carpinus betulus,31.9652264704928,32.4111447832547,20.2944724123
79,Alnus glutinosa,33.2068143971264,39.2829246632755,27.162940549
80,Ginkgo biloba,46.220730291679494,22.6515088393353,19.2886035862
81,Populus tremula,34.6725190524012,29.0177269594278,19.2333171204
82,Metasequoia glyptostroboides,31.628291131928602,27.4797301611397,16.450427342
83,Pinus sylvestris,42.4521899130195,36.4182837354019,31.3193691882
84,Carpinus betulus,44.039648752659595,26.9310160295572,22.3725733281
85,Quercus robur,47.0961082773283,43.5438830161002,44.7611421208
86,Populus tremula,32.2839726274833,32.886884593172,20.8749572058
87,Fraxinus excelsior,49.0115680545568,30.479611356276997,28.8465326406
88,Populus tremula,43.140725023113205,28.9061927516013,23.8210437848
89,Ginkgo biloba,45.5459984904155,32.2224305989221,28.7067538534
90,Carpinus betulus,31.211146749556104,39.5559814048465,25.7797427573
91,Fraxinus excelsior,42.030599513091104,37.7148740214761,32.5023714088
92,Metasequoia glyptostroboides,31.918618218042003,43.9337977429386,30.7522575585
93,Pinus sylvestris,41.8378670746461,30.7671553385444,24.9078791976
94,Metasequoia glyptostroboides,44.3048819759861,44.42143243388271,43.4190238502
95,Populus tremula,33.7106570415199,22.4894612724893,13.9561474577
96,Metasequoia glyptostroboides,44.328847164288206,37.6085923507344,34.1483995047
97,Ginkgo biloba,38.8612799486145,23.7011940556113,17.0598751832
98,Quercus robur,40.297418283298605,41.5249906526878,35.6834904432
99,Pinus sylvestris,39.465558864176295,42.5670967833139,36.2486360904
100,Metasequoia glyptostroboides,31.199750117957603,36.447052062721895,23.0420120895
101,Fraxinus excelsior,49.758110521361196,20.418802560307103,18.5234650555
102,Ginkgo biloba,39.0433466527611,35.7310830720235,28.08762107
103,Quercus robur,37.2985610784963,30.013894486473898,21.5463960618
104,Metasequoia glyptostroboides,42.3745733685791,33.7517177441623,28.3156223418
105,Ginkgo biloba,40.405092779547,33.963587500620605,27.2162344609
106,Betula pendula,40.3485652338713,32.1756120526697,25.3848689038
107,Ginkgo biloba,47.148621901869795,26.6794721642509,23.6921248466
108,Ginkgo biloba,33.700537285767496,20.654582423158,12.7038527112
109,Carpinus betulus,30.675519006326798,26.881137663731398,15.5498832304
110,Quercus robur,31.8700994597748,23.164914349326896,13.6364471019
111,Fagus sylvatica,37.50953507144,36.5860947454348,27.8429175053
112,Carpinus betulus,46.139832846820404,43.978799692122294,44.5237370123
113,Ginkgo biloba,39.70661872997879,29.9145355867222,22.8457245066
114,Alnus glutinosa,41.0378486057743,22.0238169818185,16.6002138627
115,Pinus sylvestris,33.405883396044395,35.9963867568877,24.2675764075
116,Carpinus betulus,39.501561964862,30.298136249184605,23.0811254247
117,Fagus sylvatica,43.988915118388796,27.0793361170217,22.4902497112
118,Carpinus betulus,37.8497270308435,38.5734353668522,30.1863189312
119,Alnus glutinosa,43.52885172236711,36.761984070763,32.5187188796
