"","X","ID","DataType","ORIGINAL_TraitID","ORIGINAL_TraitDefinition","TraitValue","TraitUnit","N_TraitValue","ConTaxa","ResTaxa","ConTaxaStage","ResTaxaStage","Con_ForagingMovement","Con_RESDetectionDimensionality","Res_ForagingMovement","Res_CONDetectionDimensionality","CON_MASS_value","RES_MASS_value","ResArenaSize_SI_UNIT","ResDensity_SI_VALUE","ResDensityUnit","ResDensity","ResArenaSize_SI_VALUE","ConTemp","ResTemp","ResReplaceRate","ResReplaceUnit","ResReplace","TraitSIValue","TraitSIUnit","N_TraitID","N_TraitConversion","N_CONVERTED","N_TraitUnit","Original_ErrorValue","Original_ErrorValueUnit","Replicates","ConTaxon","ConStage","ConCommon","Con_MovementDimensionality","Con_Thermy","Res_MovementDimensionality","ResTaxon","ResStage","ResCommon","Res_Thermy","Habitat","LabField","ObservationtimeSI","ObservationtimeSIUnits","ConStarvationTimeSI","ConStarvationTimeSIUnits","ConArenaSiz_VALUE","ConArenaSize_UNIT","ConDensity","ConDensityUnit","ConDensity_SI_VALUE","ConDensityConst","ConSizType","CON_ORIGINAL_value","CON_ORIGINAL_unit","Con_Siz_reference","ResSizType","RES_ORIGINAL_value","RES_ORIGINAL_unit","Res_Siz_reference","Citation","FigureTable","a0","h0","Holling_AIC","Holling_gen_AIC","Poly_2_AIC","Poly_3_AIC","Holling_BIC","Holling_gen_BIC","Poly_2_BIC","Poly_3_BIC","BestAIC","BestBIC","q0"
"230",229,39845,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.1897,"individual / (individual * second)",0.1897,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.078,7.01e-08,"cubic meter",250,"Individuals per arena",0.2521,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","78","grams","original","length",1.8,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1","14.8181106904758","1.87410242282341",-14.4449927070955,-12.5577150399814,-11.7422496350324,-9.9844225660767,-10.9108312160517,-7.84549971858962,-7.03003431364058,-4.09415341433697,NA,NA,"-3.52382711134851"
"254",253,39846,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.1648,"individual / (individual * second)",0.1648,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.00075,1.98e-08,"cubic meter",250,"Individuals per arena",0.2405,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","0.75","grams","original","length",1.1,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1","3.1238740152065","0.0765669721646081",-10.455140830237,-10.3209704988614,-11.4937749255651,-9.51065329139076,-7.04865818244958,-5.77899363514479,-6.95179806184854,-3.83318221174501,NA,NA,"4.57086727721617"
"277",276,39847,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.1932,"individual / (individual * second)",0.1932,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.0018,1.98e-08,"cubic meter",250,"Individuals per arena",0.2477,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","1.8","grams","original","length",1.1,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1","0.648042314769818","0.337344956002374",-32.1939080033072,-30.2399774645676,-29.0610539748323,-32.4441979730312,-27.8919463898518,-24.504028646627,-23.3251051568917,-25.2742619506055,NA,NA,"1.17571088252589"
"308",307,39848,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.1147,"individual / (individual * second)",0.1147,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.006,1.98e-08,"cubic meter",250,"Individuals per arena",0.2405,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","6","grams","original","length",1.1,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1","1.15285872326247","0.559768724963287",-10.4581204328926,-8.72205847344283,-9.58489482029345,-7.82929400989246,-6.80149295828805,-3.84655517397003,-4.70939152082065,-1.73491488555146,NA,NA,"0.310946118552238"
"333",332,39849,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.0734,"individual / (individual * second)",0.0734,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.009,1.98e-08,"cubic meter",250,"Individuals per arena",0.2443,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","9","grams","original","length",1.1,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1","0.711883292969505","2.2580167618004",-11.4063140552272,-11.9153618779318,-14.1858818384856,-12.2764842756245,-8.27274674205698,-7.73727212703806,-10.0077920875919,-7.05387208700737,NA,NA,"-2.28697634069249"
"354",353,39850,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.3135,"individual / (individual * second)",0.3135,"Salvelinus alpinus (Linnaeus 1758)","Daphnia longispina (O.F. Mller 1776)","Salvelinus alpinus (Linnaeus 1758) [juvenile]","Daphnia longispina (O.F. Mller 1776)","active","sphere","active","sphere",0.014,1.98e-08,"cubic meter",250,"Individuals per arena",0.2471,0.001,12,12,NA,"","No",NA,NA,NA,NA,NA,NA,NA,"",1,"Salvelinus alpinus (L.)","Juvenile","Arctic charr","3D","ectotherm","3D","Daphnia longispina","Adult","Long-spined Daphnia","ectotherm","Freshwater","Laboratory",NA,"",NA,"",0.001,"cubic meter",1,"Individuals per arena","0","Yes","wet mass","14","grams","original","length",1.1,"millimeter","original","[110] Jansen P.A. A.G. Finstad and A. Langeland Size-scaling of zooplankton foraging in Arctic charr. Journal of Fish Biology 2003. 62(4): p. 860-870.","Fig 1","0.345999197544876","1.09369930178307",-22.7857772771883,-20.7859205699683,-23.905069133278,-29.2946271008978,-19.952460339689,-17.0081646533026,-20.1273132166123,-24.5724322050656,NA,NA,"-0.485209496691823"
"373",372,39851,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.1265,"individual / (5 individual * 24 hrs)",2.93e-07,"Saduria entomon (Linnaeus 1758)","Monoporeia affinis Lindstrm 1855","Saduria entomon (Linnaeus 1758) [juvenile]","Monoporeia affinis Lindstrm 1855 [juvenile]","active","surface","active","surface",8e-05,3.75e-07,"square meter",281.5375,"Individuals per arena",56.3075,0.2,5.7,5.7,NA,"","No",NA,NA,NA,NA,NA,NA,0.6046,"SE",6,"Saduria entomon (L.)","Juvenile","Benthic isopod","2D","ectotherm","2D","Monoporeia affinis (Lindstrm)","Juvenile","Amphipod","ectotherm","Marine","Laboratory",86400,"seconds",NA,"",0.2,"square meter",5,"Individuals per arena","0","Yes","wet mass","0.08","grams","original","dry mass",0.16,"milligrams","original","Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.","Fig 1","0.597108141690735","0.541969525306213",-109.191769646332,-101.896972918705,-112.230234765837,-113.689828672724,-110.363455909029,-103.459221268969,-113.7924831161,-115.642639110553,NA,NA,"-4.91500247037038"
"378",377,39852,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",1.2551,"individual / (5 individual * 24 hrs)",2.91e-06,"Saduria entomon (Linnaeus 1758)","Monoporeia affinis Lindstrm 1855","Saduria entomon (Linnaeus 1758) [juvenile]","Monoporeia affinis Lindstrm 1855 [juvenile]","active","surface","active","surface",0.000515,3.75e-07,"square meter",268.8165,"Individuals per arena",53.7633,0.2,5.7,5.7,NA,"","No",NA,NA,NA,NA,NA,NA,0.6046,"SE",6,"Saduria entomon (L.)","Juvenile","Benthic isopod","2D","ectotherm","2D","Monoporeia affinis (Lindstrm)","Juvenile","Amphipod","ectotherm","Marine","Laboratory",86400,"seconds",NA,"",0.2,"square meter",5,"Individuals per arena","0","Yes","wet mass","0.515","grams","original","dry mass",0.16,"milligrams","original","Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.","Fig 1","1.92856700617551","0.490549287154566",-114.376772337871,-106.693126402843,-118.95903553835,-125.634938738937,-115.548458600569,-108.255374753106,-120.521283888614,-127.587749176767,NA,NA,"-3.42060604132712"
"383",382,39853,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.3685,"individual / (5 individual * 24 hrs)",8.53e-07,"Saduria entomon (Linnaeus 1758)","Monoporeia affinis Lindstrm 1855","Saduria entomon (Linnaeus 1758) [adult]","Monoporeia affinis Lindstrm 1855 [juvenile]","active","surface","active","surface",0.001605,3.75e-07,"square meter",269.8265,"Individuals per arena",53.9653,0.2,5.7,5.7,NA,"","No",NA,NA,NA,NA,NA,NA,0.524,"SE",6,"Saduria entomon (L.)","Adult","Benthic isopod","2D","ectotherm","2D","Monoporeia affinis (Lindstrm)","Subadult","Amphipod","ectotherm","Marine","Laboratory",86400,"seconds",NA,"",0.2,"square meter",5,"Individuals per arena","0","Yes","wet mass","1.605","grams","original","dry mass",0.16,"milligrams","original","Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.","Fig 1","0.645478733655107","0.0758123226148548",-102.615112099929,-101.229602675534,-106.428910482907,-107.510986564249,-103.786798362627,-102.791851025797,-107.991158833171,-109.463797002079,NA,NA,"2.38000853452832"
"388",387,39854,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.8638,"individual / (5 individual * 24 hrs)",2e-06,"Saduria entomon (Linnaeus 1758)","Monoporeia affinis Lindstrm 1855","Saduria entomon (Linnaeus 1758) [adult]","Monoporeia affinis Lindstrm 1855 [juvenile]","active","surface","active","surface",0.00455,3.75e-07,"square meter",277.467,"Individuals per arena",55.4934,0.2,5.7,5.7,NA,"","No",NA,NA,NA,NA,NA,NA,0.6063,"SE",6,"Saduria entomon (L.)","Adult","Benthic isopod","2D","ectotherm","2D","Monoporeia affinis (Lindstrm)","Subadult","Amphipod","ectotherm","Marine","Laboratory",86400,"seconds",NA,"",0.2,"square meter",5,"Individuals per arena","0","Yes","wet mass","4.55","grams","original","dry mass",0.16,"milligrams","original","Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.","Fig 1","0.406398914733952","0.416832965917075",-111.638912827798,NA,-109.937402838912,-109.136476673925,-112.810599090496,NA,-111.499651189175,-111.089287111755,NA,NA,"-3.26534787891433"
"393",392,39855,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",1.3168,"individual / (5 individual * 24 hrs)",3.05e-06,"Saduria entomon (Linnaeus 1758)","Monoporeia affinis Lindstrm 1855","Saduria entomon (Linnaeus 1758) [juvenile]","Monoporeia affinis Lindstrm 1855 [juvenile]","active","surface","active","surface",8e-05,1.81e-06,"square meter",275.572,"Individuals per arena",55.1144,0.2,5.7,5.7,NA,"","No",NA,NA,NA,NA,NA,NA,0.5603,"SE",6,"Saduria entomon (L.)","Juvenile","Benthic isopod","2D","ectotherm","2D","Monoporeia affinis (Lindstrm)","Subadult","Amphipod","ectotherm","Marine","Laboratory",86400,"seconds",NA,"",0.2,"square meter",5,"Individuals per arena","0","Yes","wet mass","0.08","grams","original","dry mass",0.755,"milligrams","original","Aljetlawi A.A. E. Sparrevik and K. Leonardsson Prey-predator size-dependent functional response: derivation and rescaling to the real world. Journal of Animal Ecology 2004. 73(2): p. 239-252.","Fig 1","0.536854567910999","2.34411853770806",-114.65288914539,-102.017964792366,-118.49819614061,-117.413134258555,-115.824575408088,-103.58021314263,-120.060444490874,-119.365944696384,NA,NA,"-3.5243296250701"
